CODICE REGIONE,DENOMINAZIONE REGIONE,CODICE AZIENDA,DENOMINAZIONE AZIENDA,INDIRIZZO,CAP,COMUNE
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,114,Asl Bari,Lungomare Starita 6,70123,Bari
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,115,Asl Foggia,Piazza Libertà 1,71100,Foggia
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
160,Puglia,116,Asl Lecce,Via Miglietta 5,73100,Lecce
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
140,Molise,201,Asrem,Via Petrella 1,86100,Campobasso
41,Prov. Auton. Bolzano,201,Azienda Sanitaria Della P.A. Di Bolzano,Via Cassa Di Risparmio 4,39100,Bolzano
41,Prov. Auton. Bolzano,201,Azienda Sanitaria Della P.A. Di Bolzano,Via Cassa Di Risparmio 4,39100,Bolzano
41,Prov. Auton. Bolzano,201,Azienda Sanitaria Della P.A. Di Bolzano,Via Cassa Di Risparmio 4,39100,Bolzano
41,Prov. Auton. Bolzano,201,Azienda Sanitaria Della P.A. Di Bolzano,Via Cassa Di Risparmio 4,39100,Bolzano
41,Prov. Auton. Bolzano,201,Azienda Sanitaria Della P.A. Di Bolzano,Via Cassa Di Risparmio 4,39100,Bolzano
41,Prov. Auton. Bolzano,201,Azienda Sanitaria Della P.A. Di Bolzano,Via Cassa Di Risparmio 4,39100,Bolzano
41,Prov. Auton. Bolzano,201,Azienda Sanitaria Della P.A. Di Bolzano,Via Cassa Di Risparmio 4,39100,Bolzano
130,Abruzzo,202,Lanciano-Vasto-Chieti,Via Martiri Lancianesi 19,66100,Chieti
130,Abruzzo,202,Lanciano-Vasto-Chieti,Via Martiri Lancianesi 19,66100,Chieti
130,Abruzzo,202,Lanciano-Vasto-Chieti,Chieti  Via Martiri Lancianesi 19,66100,Chieti
130,Abruzzo,202,Lanciano-Vasto-Chieti,Chieti  Via Martiri Lancianesi 19,66100,Chieti
130,Abruzzo,202,Lanciano-Vasto-Chieti,Chieti  Via Martiri Lancianesi 19,66100,Chieti
