LotID,Manufacturer,Type,Name,Production Date,Expiration Date
DR8995,PFIZER,mRNA,COMIRNATY,2020-11-14,2021-04-01
KBC7567,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-21,2022-01-02
707C30N,MODERNA,mRNA,mRNA-1273,2021-02-09,2021-07-21
9085644,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-22,2021-12-19
YR9528,PFIZER,mRNA,COMIRNATY,2021-06-28,2021-12-23
6438410,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-05-31,2021-10-17
5609175,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-01-27,2021-06-13
CPN1983,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-09-01,2022-01-29
MU7336,PFIZER,mRNA,COMIRNATY,2021-04-22,2021-10-14
FTU6553,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-03-12,2021-07-30
CB6025,PFIZER,mRNA,COMIRNATY,2021-07-11,2021-11-24
327Q89F,MODERNA,mRNA,mRNA-1273,2020-12-15,2021-05-01
ID4618,PFIZER,mRNA,COMIRNATY,2021-04-11,2021-08-28
EY9479,PFIZER,mRNA,COMIRNATY,2020-12-13,2021-06-04
6056471,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-08-19,2022-01-11
3687831,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-07,2021-12-23
PON2366,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-12-31,2021-06-26
LVW3384,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-06-12,2021-11-29
4798295,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-27,2021-12-27
6417777,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-08-09,2022-01-27
ZD5466,PFIZER,mRNA,COMIRNATY,2021-01-18,2021-06-07
HWG6259,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-05-28,2021-10-11
876V74U,MODERNA,mRNA,mRNA-1273,2020-12-08,2021-05-04
MO8013,PFIZER,mRNA,COMIRNATY,2020-12-01,2021-05-27
316V95W,MODERNA,mRNA,mRNA-1273,2021-08-30,2022-01-26
6188803,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-17,2022-01-06
767Q36R,MODERNA,mRNA,mRNA-1273,2020-12-28,2021-05-31
SC1465,PFIZER,mRNA,COMIRNATY,2021-02-18,2021-07-28
2135956,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-03-15,2021-08-30
5858396,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-11-03,2021-04-20
XV3608,PFIZER,mRNA,COMIRNATY,2021-07-18,2021-12-11
5107232,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-16,2021-12-06
961U61Z,MODERNA,mRNA,mRNA-1273,2021-01-17,2021-07-16
775H54S,MODERNA,mRNA,mRNA-1273,2021-07-26,2021-12-18
9360382,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-04,2022-02-18
NUA6730,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-04-30,2021-10-22
DIA7328,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-01-25,2021-07-22
202K77I,MODERNA,mRNA,mRNA-1273,2021-02-17,2021-07-04
2052342,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-29,2022-01-06
ON4201,PFIZER,mRNA,COMIRNATY,2021-02-10,2021-07-15
