denominazione_struttura,tipologia,nome_area
Anesis S.R.L.,RIA,Abruzzo
Ass. Focolare Maria Regina Onu,RIA,Abruzzo
Cdc S.Camilla-C.Ria.Villa Pini,RIA,Abruzzo
Cento Riabilitazione S.Agnese,RIA,Abruzzo
Centro Ex Art 26 Pizzoli,RIA,Abruzzo
Centro Fisiot.Riab.Medical Mar,RIA,Abruzzo
Centro Medisalus S.R.L.,RIA,Abruzzo
Centro Riab Collemaggio,RIA,Abruzzo
Centro Riab Dsbaq San Demetrio,RIA,Abruzzo
Centro Riab Villa Dorotea,RIA,Abruzzo
Centro Riabilitazione  Sanex,RIA,Abruzzo
Centro San Venanzio,RIA,Abruzzo
Centro Vaccinale Città Sant'Angelo Outlet Village,STS,Abruzzo
Centro Vaccinale Covid  Castel Di Sangro,STS,Abruzzo
Centro Vaccinale Covid Aq Bazzano Ex Tribunale,STS,Abruzzo
Centro Vaccinale Covid Sulmona Pal. Sport,STS,Abruzzo
Centro Vaccinale Covid Tagliacozzo,STS,Abruzzo
Centro Vaccinale Dsb Pescina,STS,Abruzzo
Centro Vaccinale Ex Scuola Elementare Via Fucino,STS,Abruzzo
Centro Vaccinale Montesilvano,STS,Abruzzo
Centro Vaccinale Penne,STS,Abruzzo
Centro Vaccinale Pescara Palefiere,STS,Abruzzo
Centro Vaccinale Pescara Stazione Portanuova,STS,Abruzzo
Centro Vaccinale San Vittorino,STS,Abruzzo
Centro Vaccinale Spoltore,STS,Abruzzo
Centro Vaccinale Val Pescara,STS,Abruzzo
Conc S. Stefano Teramo,RIA,Abruzzo
Cons. S. Stefano Atri,RIA,Abruzzo
Cons. S.Stefano Alba Adriatica,RIA,Abruzzo
Cons. S.Stefano Roseto,RIA,Abruzzo
Cons. S.Stefano S.Egidio,RIA,Abruzzo
Consorzio San Stef.Ar.,RIA,Abruzzo
Consultorio San Vito Chietino,STS,Abruzzo
Don Orione,RIA,Abruzzo
Dsb Chieti Centro,STS,Abruzzo
Dsb Francavilla - Sede Erog. San Giovanni Teatino,STS,Abruzzo
Dsb Francavilla Al Mare,STS,Abruzzo
Dsb Lanciano,STS,Abruzzo
Dsb San Salvo,STS,Abruzzo
Dsb San Salvo - Sede Erog. Castiglione M.M.,STS,Abruzzo
Dsb Vasto,STS,Abruzzo
Dsb Villa Santa Maria,STS,Abruzzo
Fond. Il Cireneo Onlus Per Aut,RIA,Abruzzo
Fond. Ist. Santa Caterina,RIA,Abruzzo
Fond. P. A. Mileno Gissi,RIA,Abruzzo
Fond. P. A. Mileno Lanciano,RIA,Abruzzo
Fond. P. A. Mileno Vasto Dalm.,RIA,Abruzzo
Fond. P. A. Mileno Vasto Lebba,RIA,Abruzzo
Fond. P. A. Mileno Vasto Plato,RIA,Abruzzo
Fond. P. A. Mileno Vasto S.Tom,RIA,Abruzzo
Fond. Papa Paolo Vi-S.Agostino,RIA,Abruzzo
Fond. Piccola Opera Caritas,RIA,Abruzzo
Fond.P.Alberto Mileno Onlus,RIA,Abruzzo
Hub Maria Ss Splendore Giulianova,STS,Abruzzo
Hub Ospedale Mazzini Teramo,STS,Abruzzo
Hub P.O. Val Vibrata  Sant'Omero,STS,Abruzzo
Hub Parco Della Scienza,STS,Abruzzo
Hub San Liberatore Atri,STS,Abruzzo
Il Piccolo Principe,RIA,Abruzzo
Ist. Riab. San Rocco - Atessa,RIA,Abruzzo
Ist. Riab. San Rocco - Casoli,RIA,Abruzzo
Istit. Villa Giulia,RIA,Abruzzo
Nova Salus Srl,RIA,Abruzzo
P.O. Atessa,STS,Abruzzo
P.O. Clinicizz. 'Ss. Annunziata' Chieti,STS,Abruzzo
P.O. Lanciano,STS,Abruzzo
P.O. Ortona,STS,Abruzzo
P.O. Vasto,STS,Abruzzo
P.T.A. Casoli,STS,Abruzzo
P.T.A. Gissi,STS,Abruzzo
P.T.A. Guardiagrele,STS,Abruzzo
Paolo Vi  Madonna Del Monte,RIA,Abruzzo
Paolo Vi Centro,RIA,Abruzzo
Paolo Vi Centro Adriatico,RIA,Abruzzo
Paolo Vi Centro Tabor,RIA,Abruzzo
Paolo Vi Civitaquana,RIA,Abruzzo
Paolo Vi San Clemente,RIA,Abruzzo
Paolo Vi San Massimo,RIA,Abruzzo
Piccola Opera Charitas,RIA,Abruzzo
Poliambulatorio Pe,STS,Abruzzo
Riab. Anffas-Onulus Teramo,RIA,Abruzzo
Riabilitazione Wellness&C.,RIA,Abruzzo
San Raffaele Spa,RIA,Abruzzo
San Ste Far Montesilvano,RIA,Abruzzo
San Ste Far Pescara,RIA,Abruzzo
San Stef. Ar. Abruzzo-Chs,RIA,Abruzzo
San Stef. Ar. Abruzzo-Cht,RIA,Abruzzo
San Stef. Ar. Abruzzo-Csb,RIA,Abruzzo
San Stef. Ar. Abruzzo-Lnc,RIA,Abruzzo
San Stef. Ar. Abruzzo-Ssl,RIA,Abruzzo
San Stef. Ar. Abruzzo-Vsm,RIA,Abruzzo
San Stef. Ar. Abruzzo-Vst,RIA,Abruzzo
Serv Riab Avezzano,RIA,Abruzzo
Serv Riab Sulmona,RIA,Abruzzo
Aias,RIA,Basilicata
Aias-Sez.Melfi - Sede Matera,RIA,Basilicata
C.T.R. Srl,RIA,Basilicata
Centro   R. H. A. M.,RIA,Basilicata
Centro A.I.A.S. Di Lauria,RIA,Basilicata
Centro Aias F. Bagnale,RIA,Basilicata
Centro Di Riabilitazione Aias,RIA,Basilicata
Centro Policenter S.R.L.,RIA,Basilicata
