Name,Type,Region,Address,City,Postal Code,State,Longitude,Latitude,ID
Anesis S.R.L.,RIA,Abruzzo,,,,Italy,,,FGO712
Ass. Focolare Maria Regina Onu,RIA,Abruzzo,,,,Italy,,,ONO874
Cdc S.Camilla-C.Ria.Villa Pini,RIA,Abruzzo,,,,Italy,,,FOJ220
Cento Riabilitazione S.Agnese,RIA,Abruzzo,,,,Italy,,,UVK827
Centro Ex Art 26 Pizzoli,RIA,Abruzzo,,,,Italy,,,XVA968
Centro Fisiot.Riab.Medical Mar,RIA,Abruzzo,,,,Italy,,,AHU248
Centro Medisalus S.R.L.,RIA,Abruzzo,,,,Italy,,,QAG408
Centro Riab Collemaggio,RIA,Abruzzo,,,,Italy,,,QIO206
Centro Riab Dsbaq San Demetrio,RIA,Abruzzo,,,,Italy,,,CLX705
Centro Riab Villa Dorotea,RIA,Abruzzo,,,,Italy,,,VVG107
Centro Riabilitazione  Sanex,RIA,Abruzzo,,,,Italy,,,YUY372
Centro San Venanzio,RIA,Abruzzo,,,,Italy,,,VOD325
Centro Vaccinale Città Sant'Angelo Outlet Village,STS,Abruzzo,,,,Italy,,,OJB756
Centro Vaccinale Covid  Castel Di Sangro,STS,Abruzzo,,,,Italy,,,OTB643
Centro Vaccinale Covid Aq Bazzano Ex Tribunale,STS,Abruzzo,,,,Italy,,,IVT830
Centro Vaccinale Covid Sulmona Pal. Sport,STS,Abruzzo,,,,Italy,,,ZEK485
Centro Vaccinale Covid Tagliacozzo,STS,Abruzzo,,,,Italy,,,RUZ205
Centro Vaccinale Dsb Pescina,STS,Abruzzo,,,,Italy,,,GQH998
Centro Vaccinale Ex Scuola Elementare Via Fucino,STS,Abruzzo,,,,Italy,,,VDE107
Centro Vaccinale Montesilvano,STS,Abruzzo,,,,Italy,,,CEI945
Centro Vaccinale Penne,STS,Abruzzo,,,,Italy,,,PNC107
Centro Vaccinale Pescara Palefiere,STS,Abruzzo,,,,Italy,,,IIJ935
Centro Vaccinale Pescara Stazione Portanuova,STS,Abruzzo,,,,Italy,,,QVC465
Centro Vaccinale San Vittorino,STS,Abruzzo,,,,Italy,,,QEG898
Centro Vaccinale Spoltore,STS,Abruzzo,,,,Italy,,,PJQ609
Centro Vaccinale Val Pescara,STS,Abruzzo,,,,Italy,,,PBJ735
Conc S. Stefano Teramo,RIA,Abruzzo,,,,Italy,,,ACY401
Cons. S. Stefano Atri,RIA,Abruzzo,,,,Italy,,,WSY154
Cons. S.Stefano Alba Adriatica,RIA,Abruzzo,,,,Italy,,,UYC786
Cons. S.Stefano Roseto,RIA,Abruzzo,,,,Italy,,,WGU956
Cons. S.Stefano S.Egidio,RIA,Abruzzo,,,,Italy,,,WGH316
Consorzio San Stef.Ar.,RIA,Abruzzo,,,,Italy,,,NFU992
Consultorio San Vito Chietino,STS,Abruzzo,,,,Italy,,,NPR430
Don Orione,RIA,Abruzzo,,,,Italy,,,LMQ179
Dsb Chieti Centro,STS,Abruzzo,,,,Italy,,,FCN713
Dsb Francavilla - Sede Erog. San Giovanni Teatino,STS,Abruzzo,,,,Italy,,,ZBV379
Dsb Francavilla Al Mare,STS,Abruzzo,,,,Italy,,,PZW758
Dsb Lanciano,STS,Abruzzo,,,,Italy,,,QVV248
Dsb San Salvo,STS,Abruzzo,,,,Italy,,,DKZ131
Dsb San Salvo - Sede Erog. Castiglione M.M.,STS,Abruzzo,,,,Italy,,,TJN643
Dsb Vasto,STS,Abruzzo,,,,Italy,,,NLJ258
Dsb Villa Santa Maria,STS,Abruzzo,,,,Italy,,,WPC593
Fond. Il Cireneo Onlus Per Aut,RIA,Abruzzo,,,,Italy,,,APD508
Fond. Ist. Santa Caterina,RIA,Abruzzo,,,,Italy,,,OCR674
Fond. P. A. Mileno Gissi,RIA,Abruzzo,,,,Italy,,,YKS841
Fond. P. A. Mileno Lanciano,RIA,Abruzzo,,,,Italy,,,CPZ285
Fond. P. A. Mileno Vasto Dalm.,RIA,Abruzzo,,,,Italy,,,YBH544
Fond. P. A. Mileno Vasto Lebba,RIA,Abruzzo,,,,Italy,,,HMF494
Fond. P. A. Mileno Vasto Plato,RIA,Abruzzo,,,,Italy,,,TYV200
Fond. P. A. Mileno Vasto S.Tom,RIA,Abruzzo,,,,Italy,,,QCG475
Fond. Papa Paolo Vi-S.Agostino,RIA,Abruzzo,,,,Italy,,,LVL332
