Region Code,Region,Name,Type,Address,CAP,City,State
180,Calabria,A.S.P. Cosenza,A.S.P.,Viale Degli Alimena 8,87100,Cosenza,Italy
160,Puglia,Asl Bari,Asl,Lungomare Starita 6,70123,Bari,Italy
160,Puglia,Asl Foggia,Asl,Piazza Libertà 1,71100,Foggia,Italy
160,Puglia,Asl Lecce,Asl,Via Miglietta 5,73100,Lecce,Italy
140,Molise,Asrem,Asrem,Via Petrella 1,86100,Campobasso,Italy
41,Prov. Auton. Bolzano,ASL Sanitaria Della P.A. Di Bolzano,ASL,Via Cassa Di Risparmio 4,39100,Bolzano,Italy
130,Abruzzo,ASL Lanciano-Vasto-Chieti,ASL,Via Martiri Lancianesi 19,66100,Chieti,Italy
130,Abruzzo,ASL Lanciano-Vasto-Chieti,ASL,Chieti  Via Martiri Lancianesi 19,66100,Chieti,Italy
150,Campania,A.S.L. Avellino,A.S.L.,Via Degli Imbimbo 10/12,83100,Avellino,Italy
150,Campania,A.S.L. Benevento,A.S.L.,Via Oderisio 1,82100,Benevento,Italy
150,Campania,A.S.L. Caserta,A.S.L.,Via Unita' Italiana 28,81100,Caserta,Italy
30,Lombardia,A.S.L. Della Provincia Di Bergamo,A.S.L.,Via Gallicciolli 4,24121,Bergamo,Italy
30,Lombardia,A.S.L. Della Provincia Di Brescia,A.S.L.,V.Le Duca Degli Abruzzi 15,25124,Brescia,Italy
30,Lombardia,A.S.L. Della Provincia Di Como,A.S.L.,Via Pessina 6,22100,Como,Italy
30,Lombardia,A.S.L. Della Provincia Di Cremona,A.S.L.,Via S. Sebastiano 14,26100,Cremona,Italy
30,Lombardia,A.S.L. Della Provincia Di Lecco,A.S.L.,C.So Carlo Alberto 120,23900,Lecco,Italy
30,Lombardia,A.S.L. Della Provincia Di Lodi,A.S.L.,P.Zza Ospedale 1,26900,Lodi,Italy
30,Lombardia,A.S.L. Della Provincia Di Lodi,A.S.L.,P.Zza Ospitale 10,26900,Lodi,Italy
30,Lombardia,A.S.L. Della Provincia Di Mantova,A.S.L.,Via Dei Toscani 1,46100,Mantova,Italy
30,Lombardia,A.S.L. Della Provincia Di Milano 1,A.S.L.,Via Savonarola 3,20025,Legnano,Italy
30,Lombardia,A.S.L. Della Provincia Di Milano 2,A.S.L.,Via Viii Giugno 69,20077,Melegnano,Italy
30,Lombardia,A.S.L. Della Provincia Di Pavia,A.S.L.,Viale Indipendenza 3,27100,Pavia,Italy
30,Lombardia,A.S.L. Della Provincia Di Sondrio,A.S.L.,Via Nazario Sauro 33,23100,Sondrio,Italy
30,Lombardia,A.S.L. Della Provincia Di Sondrio,A.S.L.,Via Nazario Sauro 38,23100,Sondrio,Italy
30,Lombardia,A.S.L. Della Provincia Di Varese,A.S.L.,Via Ottorino Rossi 9,21100,Varese,Italy
30,Lombardia,A.S.L. Di Milano,A.S.L.,C.So Italia 19,20122,Milano,Italy
30,Lombardia,A.S.L. Di Vallecamonica-Sebino,A.S.L.,Via Nissolina 2,25043,Breno,Italy
150,Campania,A.S.L. Napoli 1 Centro,A.S.L.,Centro Direzionale Is. F/9,80143,Napoli,Italy
150,Campania,A.S.L. Napoli 1 Centro,A.S.L.,Via Comunale Del Principe 13/A,80145,Napoli,Italy
150,Campania,A.S.L. Napoli 2 Nord,A.S.L.,Via Corrado Alvaro 8,80078,Pozzuoli,Italy
150,Campania,A.S.L. Napoli 3 Sud,A.S.L.,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia,Italy
30,Lombardia,A.S.L. Provincia Di Monza E Brianza,A.S.L.,Viale Elvezia 2,20052,Monza,Italy
30,Lombardia,A.S.L. Provincia Di Monza E Brianza,A.S.L.,Viale Elvezia 2,20900,Monza,Italy
150,Campania,A.S.L. Salerno,A.S.L.,Via Nizza 146,84124,Salerno,Italy
180,Calabria,A.S.P. Catanzaro,A.S.P.,Via Vinicio Cortese 25,88100,Catanzaro,Italy
180,Calabria,A.S.P. Crotone,A.S.P.,Via Corigliano 1,88900,Crotone,Italy
180,Calabria,A.S.P. Reggio Calabria,A.S.P.,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria,Italy
180,Calabria,A.S.P. Vibo Valentia,A.S.P.,Via Dante Alighieri 1,89900,Vibo Valentia,Italy
50,Veneto,Asl Adria,Asl,Piazza Degli Etruschi 9,45011,Adria,Italy
60,Friuli Venezia Giulia,Asl Alto Friuli,Asl,"P.Za Portuzza, 1",33013,Gemona Del Friuli,Italy
60,Friuli Venezia Giulia,Asl Alto Friuli,Asl,P.Za Portuzza 2,33013,Gemona Del Friuli,Italy
60,Friuli Venezia Giulia,Asl Alto Friuli - Collinare - Medio Friuli,Asl,P.Za Portuzza 2,33013,Gemona Del Friuli,Italy
20,Valle D'Aosta,Asl Aosta,Asl,Via Guido Rey 1,11100,Aosta,Italy
90,Toscana,Asl Arezzo,Asl,Via Fonte Veneziana 8,52100,Arezzo,Italy
90,Toscana,Asl Arezzo,Asl,Via Curtatone 54,52100,Arezzo,Italy
50,Veneto,Asl Arzignano,Asl,Via Trento  4,36071,Arzignano,Italy
50,Veneto,Asl Arzignano,Asl,Via Trento 4,36071,Arzignano,Italy
60,Friuli Venezia Giulia,As Friuli Occidentale,As,Via Della Vecchia Ceramica 1,33170,Pordenone,Italy
100,Umbria,Asl 1 - Citta' Di Castello,Asl,Via Luigi Angelini 10,6012,Citta' Di Castello,Italy
100,Umbria,Asl 3 - Foligno,Asl,Piazza Giacomini 40,6034,Foligno,Italy
100,Umbria,Asl 4 - Terni,Asl,Via Bramante 37,5100,Terni,Italy
160,Puglia,Asl Ba,Asl,Lungomare Starita 6,70123,Bari,Italy
160,Puglia,Asl Bat,Asl,Via Fornaci 201,70031,Andria,Italy
160,Puglia,Asl Br,Asl,Via Dalmazia 13,72100,Brindisi,Italy
160,Puglia,Asl Br,Asl,Via Napoli 8,72100,Brindisi,Italy
160,Puglia,Asl Bt,Asl,Via Fornaci 201,70031,Andria,Italy
10,Piemonte,Asl Citta' Di Torino,Asl,Corso Svizzera 164,10149,Torino,Italy
10,Piemonte,Asl Citta' Di Torino,Asl,Via San Secondo  29,10128,Torino,Italy
160,Puglia,Asl Fg,Asl,Piazza Libertà 1,71100,Foggia,Italy
160,Puglia,Asl Le,Asl,Via Miglietta 5,73100,Lecce,Italy
160,Puglia,Asl Ta,Asl,Viale Virgilio 31,74100,Taranto,Italy
50,Veneto,Asl Asolo,Asl,Via Forestuzzo  41,31011,Asolo,Italy
50,Veneto,Asl Asolo,Asl,Via Forestuzzo 41,31011,Asolo,Italy
190,Sicilia,Asp Agrigento,Asp,Via Manzoni  140,92100,Agrigento,Italy
190,Sicilia,Asp Caltanissetta,Asp,Via Cusmano 10,93100,Caltanissetta,Italy
190,Sicilia,Asp Catania,Asp,Via S. Maria La Grande 5,95124,Catania,Italy
190,Sicilia,Asp Di Trapani,Asp,Via Mazzini 1,91100,Trapani,Italy
190,Sicilia,Asp Enna,Asp,Viale Diaz 23,94100,Enna,Italy
190,Sicilia,Asp Messina,Asp,Via Del Vespro  289,98100,Messina,Italy
190,Sicilia,Asp Paleasl Roma Rmo,Asp,Via G. Cusmano 24,90100,Palermo,Italy
190,Sicilia,Asp Ragusa,Asp,P.Zza Igea 1,97100,Ragusa,Italy
190,Sicilia,Asp Ragusa,Asp,P.Zza Igea 1 1,97100,Ragusa,Italy
190,Sicilia,Asp Siracusa,Asp,C.So Gelone 17,96100,Siracusa,Italy
60,Friuli Venezia Giulia,Asu Friuli Centrale,Asu,Via Pozzuolo 330,33100,Udine,Italy
60,Friuli Venezia Giulia,Asu Giuliano Isontina,Asu,Via Costantinides  2,34128,Trieste,Italy
60,Friuli Venezia Giulia,Asui Di Trieste,Asui,Via Giovanni Sai 1-3,34128,Trieste,Italy
60,Friuli Venezia Giulia,Asui Di Udine,Asui,Via Pozzuolo 330,33100,Udine,Italy
110,Marche,Asur Marche,Asur,Via Caduti Del Lavoro 40,60131,Ancona,Italy
110,Marche,Asur Marche,Asur,Via G. Oberdan 2,60122,Ancona,Italy
30,Lombardia,Ats Dell'Insubria,Ats,Via O. Rossi 9,21100,Varese,Italy
30,Lombardia,Ats Della Brianza,Ats,Viale Elvezia 2,20900,Monza,Italy
30,Lombardia,Ats Della Citta' Metropolitana Di Milano,Ats,Corso Italia 19,20122,Milano,Italy
30,Lombardia,Ats Della Montagna,Ats,Via N. Sauro 38,23100,Sondrio,Italy
30,Lombardia,Ats Della Val Padana,Ats,Via Dei Toscani 1,46100,Mantova,Italy
30,Lombardia,Ats Di Bergamo,Ats,Via Gallicciolli 4,24121,Bergamo,Italy
30,Lombardia,Ats Di Brescia,Ats,Viale Duca Degli Abruzzi 15,25122,Brescia,Italy
30,Lombardia,Ats Di Pavia,Ats,Viale Indipendenza 1,27100,Pavia,Italy
100,Umbria,Ausl Umbria N.1,Ausl,Via G. Guerra  21/17,6127,Perugia,Italy
100,Umbria,Ausl Umbria N.2,Ausl,Viale Bramante  37,5100,Terni,Italy
130,Abruzzo,ASL Avezzano-Sulmona-L'Aquila,ASL,L'Aquila  Via G. Bellisari Snc,67100,L'Aquila,Italy
130,Abruzzo,ASL Avezzano-Sulmona-L'Aquila,ASL,Via G. Bellisari Snc,67100,L'Aquila,Italy
