Region Code,Region,Name,Type,Address,CAP,City,State,ID,Longitude,Latitude
180,Calabria,A.S.P. Cosenza,A.S.P.,Viale Degli Alimena 8,87100,Cosenza,Italy,EUD323,16.2573168,39.2982773
160,Puglia,Asl Bari,Asl,Lungomare Starita 6,70123,Bari,Italy,EPR491,16.8433437,41.1361465
160,Puglia,Asl Foggia,Asl,Piazza Libertà 1,71100,Foggia,Italy,MON797,15.5512146,41.4556173
160,Puglia,Asl Lecce,Asl,Via Miglietta 5,73100,Lecce,Italy,NNM629,18.178179,40.3445551
140,Molise,Asrem,Asrem,Via Petrella 1,86100,Campobasso,Italy,LDL379,14.6572343,41.5551292
41,Bolzano,ASL Sanitaria Della P.A. Di Bolzano,ASL,Via Cassa Di Risparmio 4,39100,Bolzano,Italy,BGT682,11.3394888,46.506952
130,Abruzzo,ASL Lanciano-Vasto-Chieti,ASL,Via Martiri Lancianesi 19,66100,Chieti,Italy,ZIN632,14.7034917,42.11326649999999
130,Abruzzo,ASL Lanciano-Vasto-Chieti,ASL,Chieti  Via Martiri Lancianesi 19,66100,Chieti,Italy,PYN367,14.7034917,42.11326649999999
150,Campania,A.S.L. Avellino,A.S.L.,Via Degli Imbimbo 10/12,83100,Avellino,Italy,KVV707,14.7878022,40.9199749
150,Campania,A.S.L. Benevento,A.S.L.,Via Oderisio 1,82100,Benevento,Italy,OWR810,14.7840726,41.1301355
150,Campania,A.S.L. Caserta,A.S.L.,Via Unita' Italiana 28,81100,Caserta,Italy,WBB625,14.3410565,41.0719371
30,Lombardia,A.S.L. Della Provincia Di Bergamo,A.S.L.,Via Gallicciolli 4,24121,Bergamo,Italy,KNC791,9.6969471,45.6923489
30,Lombardia,A.S.L. Della Provincia Di Brescia,A.S.L.,V.Le Duca Degli Abruzzi 15,25124,Brescia,Italy,VPN912,10.5324915,45.6073399
30,Lombardia,A.S.L. Della Provincia Di Como,A.S.L.,Via Pessina 6,22100,Como,Italy,YNZ652,9.1399438,45.73912379999999
30,Lombardia,A.S.L. Della Provincia Di Cremona,A.S.L.,Via S. Sebastiano 14,26100,Cremona,Italy,LMV523,9.679924999999999,45.3623971
30,Lombardia,A.S.L. Della Provincia Di Lecco,A.S.L.,C.So Carlo Alberto 120,23900,Lecco,Italy,EYM572,9.3201533,45.9179335
30,Lombardia,A.S.L. Della Provincia Di Lodi,A.S.L.,P.Zza Ospedale 1,26900,Lodi,Italy,WNV621,9.4110097,45.2328412
30,Lombardia,A.S.L. Della Provincia Di Lodi,A.S.L.,P.Zza Ospitale 10,26900,Lodi,Italy,PGB797,9.4110097,45.2328412
30,Lombardia,A.S.L. Della Provincia Di Mantova,A.S.L.,Via Dei Toscani 1,46100,Mantova,Italy,GRL317,10.6104893,45.0895873
30,Lombardia,A.S.L. Della Provincia Di Milano 1,A.S.L.,Via Savonarola 3,20025,Legnano,Italy,MFB639,9.1868847,45.45476790000001
30,Lombardia,A.S.L. Della Provincia Di Milano 2,A.S.L.,Via Viii Giugno 69,20077,Melegnano,Italy,IHX807,9.1868847,45.45476790000001
30,Lombardia,A.S.L. Della Provincia Di Pavia,A.S.L.,Viale Indipendenza 3,27100,Pavia,Italy,TVA129,9.1102463,45.1403354
30,Lombardia,A.S.L. Della Provincia Di Sondrio,A.S.L.,Via Nazario Sauro 33,23100,Sondrio,Italy,ONW502,9.8945989,46.1704732
30,Lombardia,A.S.L. Della Provincia Di Sondrio,A.S.L.,Via Nazario Sauro 38,23100,Sondrio,Italy,BLK724,9.8945989,46.1704732
30,Lombardia,A.S.L. Della Provincia Di Varese,A.S.L.,Via Ottorino Rossi 9,21100,Varese,Italy,BKZ355,8.8965105,45.6126167
30,Lombardia,A.S.L. Di Milano,A.S.L.,C.So Italia 19,20122,Milano,Italy,PDH180,9.1868847,45.45476790000001
30,Lombardia,A.S.L. Di Vallecamonica-Sebino,A.S.L.,Via Nissolina 2,25043,Breno,Italy,PVQ950,10.1116659,45.8058841
150,Campania,A.S.L. Napoli 1 Centro,A.S.L.,Centro Direzionale Is. F/9,80143,Napoli,Italy,SUM259,14.225719,40.8783362
150,Campania,A.S.L. Napoli 1 Centro,A.S.L.,Via Comunale Del Principe 13/A,80145,Napoli,Italy,IYQ638,14.225719,40.8783362
150,Campania,A.S.L. Napoli 2 Nord,A.S.L.,Via Corrado Alvaro 8,80078,Pozzuoli,Italy,TQO722,14.2704525,40.9420757
150,Campania,A.S.L. Napoli 3 Sud,A.S.L.,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia,Italy,FME348,14.5130374,40.7208226
30,Lombardia,A.S.L. Provincia Di Monza E Brianza,A.S.L.,Viale Elvezia 2,20052,Monza,Italy,OOD328,9.2535018,45.5920985
30,Lombardia,A.S.L. Provincia Di Monza E Brianza,A.S.L.,Viale Elvezia 2,20900,Monza,Italy,VPB942,9.2535018,45.5920985
150,Campania,A.S.L. Salerno,A.S.L.,Via Nizza 146,84124,Salerno,Italy,CGP901,14.7779833,40.6745528
180,Calabria,A.S.P. Catanzaro,A.S.P.,Via Vinicio Cortese 25,88100,Catanzaro,Italy,NHT590,16.58466,38.9185072
180,Calabria,A.S.P. Crotone,A.S.P.,Via Corigliano 1,88900,Crotone,Italy,MIC152,17.1304375,39.06892
180,Calabria,A.S.P. Reggio Calabria,A.S.P.,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria,Italy,BPV344,15.6544871,38.1031286
180,Calabria,A.S.P. Vibo Valentia,A.S.P.,Via Dante Alighieri 1,89900,Vibo Valentia,Italy,CKX812,16.0959788,38.6754362
50,Veneto,Asl Adria,Asl,Piazza Degli Etruschi 9,45011,Adria,Italy,YIG934,12.0536914,45.0484307
60,Friuli Venezia Giulia,Asl Alto Friuli,Asl,"P.Za Portuzza, 1",33013,Gemona Del Friuli,Italy,ETL234,13.0112806,46.4053761
60,Friuli Venezia Giulia,Asl Alto Friuli,Asl,P.Za Portuzza 2,33013,Gemona Del Friuli,Italy,DEW121,13.0112806,46.4053761
60,Friuli Venezia Giulia,Asl Alto Friuli - Collinare - Medio Friuli,Asl,P.Za Portuzza 2,33013,Gemona Del Friuli,Italy,QIF409,13.1405801,46.276311
20,Valle D'Aosta,Asl Aosta,Asl,Via Guido Rey 1,11100,Aosta,Italy,KWH628,7.299739799999999,45.7351355
90,Toscana,Asl Arezzo,Asl,Via Fonte Veneziana 8,52100,Arezzo,Italy,QPO151,11.8694026,43.4587425
90,Toscana,Asl Arezzo,Asl,Via Curtatone 54,52100,Arezzo,Italy,DUD466,11.8694026,43.4587425
50,Veneto,Asl Arzignano,Asl,Via Trento  4,36071,Arzignano,Italy,PYP243,11.3299871,45.51862759999999
50,Veneto,Asl Arzignano,Asl,Via Trento 4,36071,Arzignano,Italy,VNL903,11.3299871,45.51862759999999
60,Friuli Venezia Giulia,As Friuli Occidentale,As,Via Della Vecchia Ceramica 1,33170,Pordenone,Italy,OKV642,12.8397165,45.9542311
100,Umbria,Asl 1 - Citta' Di Castello,Asl,Via Luigi Angelini 10,6012,Citta' Di Castello,Italy,NGV265,12.2534788,43.474059
100,Umbria,Asl 3 - Foligno,Asl,Piazza Giacomini 40,6034,Foligno,Italy,RQI379,12.7231838,42.93340800000001
100,Umbria,Asl 4 - Terni,Asl,Via Bramante 37,5100,Terni,Italy,KCC342,12.6512938,42.5473139
160,Puglia,Asl Ba,Asl,Lungomare Starita 6,70123,Bari,Italy,WYX663,16.8433437,41.1361465
160,Puglia,Asl Bat,Asl,Via Fornaci 201,70031,Andria,Italy,WJN243,16.2891256,41.2281372
160,Puglia,Asl Br,Asl,Via Dalmazia 13,72100,Brindisi,Italy,YCD664,17.9373048,40.6443971
160,Puglia,Asl Br,Asl,Via Napoli 8,72100,Brindisi,Italy,CHA746,17.9373048,40.6443971
160,Puglia,Asl Bt,Asl,Via Fornaci 201,70031,Andria,Italy,MFA944,16.2891256,41.2281372
10,Piemonte,Asl Citta' Di Torino,Asl,Corso Svizzera 164,10149,Torino,Italy,NAS950,7.673421099999999,45.0587458
10,Piemonte,Asl Citta' Di Torino,Asl,Via San Secondo  29,10128,Torino,Italy,JQC608,7.673421099999999,45.0587458
160,Puglia,Asl Fg,Asl,Piazza Libertà 1,71100,Foggia,Italy,KHH413,15.5609255,41.4445332
160,Puglia,Asl Le,Asl,Via Miglietta 5,73100,Lecce,Italy,RKD620,18.178179,40.3445551
160,Puglia,Asl Ta,Asl,Viale Virgilio 31,74100,Taranto,Italy,GEL278,17.2479552,40.4620506
50,Veneto,Asl Asolo,Asl,Via Forestuzzo  41,31011,Asolo,Italy,QWN136,11.9125861,45.7969731
