LotID,Manufacturer,Type,Name,Production Date,Expiration Date
449B43Cb4445211007876427,Astrazeneca,Viral vector,Vaxzevria,2020-12-17,2021-05-10
8bf7a15Fab28840041699507,Astrazeneca,Viral vector,Vaxzevria,2021-07-13,2021-12-06
79345002aaB1e66BABAccfef,Johnson&Johnson,Viral Vector,Jnj-78436735,2021-01-03,2021-06-18
492658790d5E60180afEd9E3,Johnson&Johnson,Viral Vector,Jnj-78436735,2020-11-23,2021-04-22
fDa3B1aEc674199694986561,Astrazeneca,Viral vector,Vaxzevria,2021-01-03,2021-05-19
891042AbFf1b771915FaF3F4,Moderna,mRNA,Mrna-1273,2020-12-27,2021-06-18
26293772922a6cEbBce2806E,Johnson&Johnson,Viral Vector,Jnj-78436735,2021-07-20,2022-01-06
740255d6a12f172670b2dCFE,Moderna,mRNA,Mrna-1273,2021-02-26,2021-08-24
afD1F176CD82217575904030,Astrazeneca,Viral vector,Vaxzevria,2021-05-09,2021-10-12
7998209BC11b778600CB929d,Moderna,mRNA,Mrna-1273,2021-07-01,2021-11-17
F3a297efB2cb851826659794,Pfizer,mRNA,Comirnaty,2021-01-26,2021-06-25
ceFBEAE00d62792321337071,Astrazeneca,Viral vector,Vaxzevria,2021-06-10,2021-12-02
5383981CD89b709413b60CB2,Moderna,mRNA,Mrna-1273,2021-08-19,2022-01-20
11AA70BbebE8833411368517,Pfizer,mRNA,Comirnaty,2021-01-11,2021-07-08
f3201B64eC51319849375500,Astrazeneca,Viral vector,Vaxzevria,2021-08-01,2022-01-16
7707205A5A3bc6AD9c8EDbf9,Johnson&Johnson,Viral Vector,Jnj-78436735,2021-04-16,2021-09-04
9467069f4Ffb2AD8b83ceb61,Johnson&Johnson,Viral Vector,Jnj-78436735,2021-09-13,2022-01-28
542722F0dfcE976368eBc0C1,Moderna,mRNA,Mrna-1273,2020-12-14,2021-05-09
3F732Ec48b8B552352855595,Pfizer,mRNA,Comirnaty,2021-07-30,2022-01-17
dfDfDd54b473249952951255,Astrazeneca,Viral vector,Vaxzevria,2021-08-25,2022-02-15
838675205D3a32Af120a8dAF,Johnson&Johnson,Viral Vector,Jnj-78436735,2021-01-18,2021-07-14
8865dAAAd714046899500399,Astrazeneca,Viral vector,Vaxzevria,2021-05-04,2021-10-22
a9F2F12C11fE926988854222,Pfizer,mRNA,Comirnaty,2020-12-22,2021-05-08
393748C1FB5f260240F748Ed,Moderna,mRNA,Mrna-1273,2021-02-16,2021-07-06
1134121b425574F46A3a08de,Johnson&Johnson,Viral Vector,Jnj-78436735,2021-07-03,2021-12-06
015cbbe13F10298359880611,Astrazeneca,Viral vector,Vaxzevria,2021-01-24,2021-06-14
986041A8D9fC2532483B5C53,Moderna,mRNA,Mrna-1273,2021-06-13,2021-11-04
4972873DAaDf142507d812a9,Moderna,mRNA,Mrna-1273,2021-05-20,2021-10-21
489461E6466a810120B3d433,Moderna,mRNA,Mrna-1273,2021-06-20,2021-12-16
D159ebAdC5Ac980442804531,Pfizer,mRNA,Comirnaty,2020-12-17,2021-05-28
747681Ee61f4821184191bCC,Moderna,mRNA,Mrna-1273,2021-07-17,2021-12-31
8Cf93F3CCD76466319772471,Pfizer,mRNA,Comirnaty,2021-07-15,2022-01-02
bFDd92bff887299060411801,Astrazeneca,Viral vector,Vaxzevria,2021-09-11,2022-02-02
b9BEA3a1E733278212740883,Astrazeneca,Viral vector,Vaxzevria,2021-08-11,2022-02-07
925793A72c7979877026bfcd,Moderna,mRNA,Mrna-1273,2021-02-13,2021-07-06
7A0fdBE2d530571419436297,Pfizer,mRNA,Comirnaty,2021-06-08,2021-11-27
59B1F4cbDB88673054106491,Astrazeneca,Viral vector,Vaxzevria,2021-06-11,2021-11-04
a015B50a8a38148311362594,Astrazeneca,Viral vector,Vaxzevria,2021-04-16,2021-09-15
aBDa8Bc85A71337741558807,Astrazeneca,Viral vector,Vaxzevria,2021-01-01,2021-05-21
277039D18cF0989731a59f5E,Moderna,mRNA,Mrna-1273,2021-07-01,2021-11-13
5D27BF9bAa52763994004493,Astrazeneca,Viral vector,Vaxzevria,2021-06-14,2021-11-10
106580Ca921a284526AF9156,Moderna,mRNA,Mrna-1273,2021-03-18,2021-08-01
5577096f7ed0725799C436AE,Moderna,mRNA,Mrna-1273,2021-03-31,2021-09-26
2e4e1a2bCd98726962425796,Astrazeneca,Viral vector,Vaxzevria,2021-02-07,2021-07-26
2299dcBC6c10997582273361,Astrazeneca,Viral vector,Vaxzevria,2021-04-01,2021-09-25
895566B51eFa573935Cde62f,Moderna,mRNA,Mrna-1273,2021-03-02,2021-08-05
79951503Dbe6ee45fC6CAA09,Johnson&Johnson,Viral Vector,Jnj-78436735,2021-06-04,2021-10-28
E223B8226Fc9330041736976,Pfizer,mRNA,Comirnaty,2021-08-09,2022-01-22
803707b8dD8D484158dF7B3b,Moderna,mRNA,Mrna-1273,2020-11-06,2021-04-04
957252bab3273963043DFB8D,Moderna,mRNA,Mrna-1273,2021-09-20,2022-02-04
07a65B1fAfeD155021194444,Pfizer,mRNA,Comirnaty,2021-01-23,2021-06-27
735387726F2Af02FDcFeefbe,Johnson&Johnson,Viral Vector,Jnj-78436735,2021-01-13,2021-06-09
5F0EbA52f896714678577228,Pfizer,mRNA,Comirnaty,2021-02-26,2021-07-17
BEFE4daEacAF892450969442,Pfizer,mRNA,Comirnaty,2021-08-11,2022-02-07
