Address,Name,CAP,City,Region Code,Region,Latitude,Longitude,ID
"Via Buggianese, 108,""FARMACIA CASABIANCA S.N.C. DEI DOTT.RI PALINI ROBERTA, RESTIVO PIETRO E CANTONI ANDREA"",51019,PONTE BUGGIANESE,90,TOSCANA,-,-",,,,,,,,LUJ639
"Via San Francesco Da Paola, 10,SAN FRANCESCO DA PAOLA,10123,TORINO,10,PIEMONTE,""45,0652154357378"",""7,68671719343681""",,,,,,,,HPJ245
"Piazza Vittorio Veneto, 10,ALGOSTINO E DEMICHELIS,10123,TORINO,10,PIEMONTE,""45,003342205568"",""7,60284957264712""",,,,,,,,EFD299
"Piazza Vittorio Veneto, 10,ALGOSTINO DEMICHELIS DI GALLO DOTT. MARIO,10123,TORINO,10,PIEMONTE,""45,003342205568"",""7,60284957264712""",,,,,,,,ZKM517
"Piazza Vittorio Veneto, 10,GALLO MARIO,10123,TORINO,10,PIEMONTE,""45,003342205568"",""7,60284957264712""",,,,,,,,FMT502
"Via del Carmine, 1,FERRERO,10122,TORINO,10,PIEMONTE,""45,0762083205915"",""7,67394938429084""",,,,,,,,ZSO462
"Via Carlo Alberto, 24,INTERNAZIONALE,10123,TORINO,10,PIEMONTE,""45,4575945727436"",""7,97475968827803""",,,,,,,,RYB101
"Via San Francesco D`Assisi, 14,COLLEGIATA SANTA MARIA SNC DEL DR. BALAGNA AGOSTINO E FIGLI,10122,TORINO,10,PIEMONTE,""45,0716748545467"",""7,68017677414661""",,,,,,,,LKD446
"Via Giuseppe Mazzini, 24,""DEL CONSERVATORIO SNC DEI DR.I VECCO G., AMORETTI A. E CAPELLO C."",10123,TORINO,10,PIEMONTE,""45,0768757"",""6,69700785""",,,,,,,,DMP797
"Piazza Vittorio Veneto, 11,OPERTI,10124,TORINO,10,PIEMONTE,""45,003342205568"",""7,60284957264712""",,,,,,,,BLM886
