denominazione_struttura,tipologia,nome_area
ANESIS S.R.L.,RIA,Abruzzo
ASS. FOCOLARE MARIA REGINA ONU,RIA,Abruzzo
CDC S.CAMILLA-C.RIA.VILLA PINI,RIA,Abruzzo
CENTO RIABILITAZIONE S.AGNESE,RIA,Abruzzo
CENTRO EX ART 26 PIZZOLI,RIA,Abruzzo
CENTRO FISIOT.RIAB.MEDICAL MAR,RIA,Abruzzo
CENTRO MEDISALUS S.R.L.,RIA,Abruzzo
CENTRO RIAB COLLEMAGGIO,RIA,Abruzzo
CENTRO RIAB DSBAQ SAN DEMETRIO,RIA,Abruzzo
CENTRO RIAB VILLA DOROTEA,RIA,Abruzzo
CENTRO RIABILITAZIONE  SANEX,RIA,Abruzzo
CENTRO SAN VENANZIO,RIA,Abruzzo
Centro Vaccinale Città Sant'Angelo Outlet Village,STS,Abruzzo
Centro vaccinale Covid  Castel di Sangro,STS,Abruzzo
Centro vaccinale Covid AQ Bazzano ex Tribunale,STS,Abruzzo
Centro vaccinale Covid Sulmona Pal. Sport,STS,Abruzzo
Centro vaccinale Covid Tagliacozzo,STS,Abruzzo
Centro Vaccinale DSB Pescina,STS,Abruzzo
Centro Vaccinale ex Scuola Elementare Via Fucino,STS,Abruzzo
Centro Vaccinale Montesilvano,STS,Abruzzo
Centro Vaccinale Penne,STS,Abruzzo
Centro Vaccinale Pescara Palefiere,STS,Abruzzo
Centro Vaccinale Pescara Stazione Portanuova,STS,Abruzzo
CENTRO VACCINALE SAN VITTORINO,STS,Abruzzo
Centro Vaccinale Spoltore,STS,Abruzzo
Centro Vaccinale VAL PESCARA,STS,Abruzzo
CONC S. STEFANO TERAMO,RIA,Abruzzo
CONS. S. STEFANO ATRI,RIA,Abruzzo
CONS. S.STEFANO ALBA ADRIATICA,RIA,Abruzzo
CONS. S.STEFANO ROSETO,RIA,Abruzzo
CONS. S.STEFANO S.EGIDIO,RIA,Abruzzo
CONSORZIO SAN STEF.AR.,RIA,Abruzzo
CONSORZIO SAN STEF.AR.,RIA,Abruzzo
CONSULTORIO SAN VITO CHIETINO,STS,Abruzzo
DON ORIONE,RIA,Abruzzo
DSB CHIETI CENTRO,STS,Abruzzo
DSB FRANCAVILLA - SEDE EROG. SAN GIOVANNI TEATINO,STS,Abruzzo
DSB FRANCAVILLA AL MARE,STS,Abruzzo
DSB LANCIANO,STS,Abruzzo
DSB SAN SALVO,STS,Abruzzo
DSB SAN SALVO - SEDE EROG. CASTIGLIONE M.M.,STS,Abruzzo
DSB VASTO,STS,Abruzzo
DSB VILLA SANTA MARIA,STS,Abruzzo
FOND. IL CIRENEO ONLUS PER AUT,RIA,Abruzzo
FOND. IST. SANTA CATERINA,RIA,Abruzzo
FOND. P. A. MILENO GISSI,RIA,Abruzzo
FOND. P. A. MILENO LANCIANO,RIA,Abruzzo
FOND. P. A. MILENO VASTO DALM.,RIA,Abruzzo
FOND. P. A. MILENO VASTO LEBBA,RIA,Abruzzo
FOND. P. A. MILENO VASTO PLATO,RIA,Abruzzo
FOND. P. A. MILENO VASTO S.TOM,RIA,Abruzzo
FOND. PAPA PAOLO VI-S.AGOSTINO,RIA,Abruzzo
FOND. PICCOLA OPERA CARITAS,RIA,Abruzzo
FOND.P.ALBERTO MILENO ONLUS,RIA,Abruzzo
FOND.P.ALBERTO MILENO ONLUS,RIA,Abruzzo
HUB MARIA SS SPLENDORE GIULIANOVA,STS,Abruzzo
HUB OSPEDALE MAZZINI TERAMO,STS,Abruzzo
HUB P.O. VAL VIBRATA  SANT'OMERO,STS,Abruzzo
HUB PARCO DELLA SCIENZA,STS,Abruzzo
HUB SAN LIBERATORE ATRI,STS,Abruzzo
IL PICCOLO PRINCIPE,RIA,Abruzzo
IST. RIAB. SAN ROCCO - ATESSA,RIA,Abruzzo
IST. RIAB. SAN ROCCO - CASOLI,RIA,Abruzzo
ISTIT. VILLA GIULIA,RIA,Abruzzo
NOVA SALUS SRL,RIA,Abruzzo
P.O. ATESSA,STS,Abruzzo
P.O. CLINICIZZ. 'SS. ANNUNZIATA' CHIETI,STS,Abruzzo
P.O. LANCIANO,STS,Abruzzo
P.O. ORTONA,STS,Abruzzo
P.O. VASTO,STS,Abruzzo
P.T.A. CASOLI,STS,Abruzzo
P.T.A. GISSI,STS,Abruzzo
P.T.A. GUARDIAGRELE,STS,Abruzzo
PAOLO VI  MADONNA del MONTE,RIA,Abruzzo
PAOLO VI CENTRO,RIA,Abruzzo
PAOLO VI CENTRO ADRIATICO,RIA,Abruzzo
PAOLO VI CENTRO TABOR,RIA,Abruzzo
PAOLO VI CIVITAQUANA,RIA,Abruzzo
PAOLO VI SAN CLEMENTE,RIA,Abruzzo
PAOLO VI SAN MASSIMO,RIA,Abruzzo
PICCOLA OPERA CHARITAS,RIA,Abruzzo
POLIAMBULATORIO PE,STS,Abruzzo
RIAB. ANFFAS-ONULUS TERAMO,RIA,Abruzzo
RIABILITAZIONE WELLNESS&C.,RIA,Abruzzo
SAN RAFFAELE SPA,RIA,Abruzzo
SAN STE FAR MONTESILVANO,RIA,Abruzzo
SAN STE FAR PESCARA,RIA,Abruzzo
SAN STEF. AR. ABRUZZO-CHS,RIA,Abruzzo
SAN STEF. AR. ABRUZZO-CHT,RIA,Abruzzo
SAN STEF. AR. ABRUZZO-CSB,RIA,Abruzzo
SAN STEF. AR. ABRUZZO-LNC,RIA,Abruzzo
SAN STEF. AR. ABRUZZO-SSL,RIA,Abruzzo
